Sprint Confidential and Privileged,,,,,,,,,PeopleSoft,,,,,,,Run Date:,27-DEC-2021
,,,,,,,,Journal to Feeder System Drill Back,,,,,,,,Run Time:,13:31:32
ReportID:,Z_GL0004

Journal Date : ,="01-JAN-2021 to 31-DEC-2021"
Ledger : ,ACTUALS
Account : ,="700280"
Fiscal Year,Accounting Period,Journal ID,Trans Ref Num,Reversal Code,Source,Journal Date,Unpost Sequence No.,Business Unit,Account,Region,Cost Center,Product,Segment,Affiliate,Journal Description,Journal Line Description,Journal Line No.,Journal Line Ref,Journal Status,Journal Amount,Amount From Source,Voucher ID,Voucher Line No.,Distrib Line No.,Invoice ID,Invoice Date,Ship Date,Shipto ID,Payment Type,Payment ID,Vendor ID,Vendor Name,PO ID,Item ID,Expense Type,Expense Doc ID,Expense Doc Type,Expense Line No,Expense Distrib Line,Expense Unpost Seq,Expense Sheet Operator ID,Expenses Operator Name,PC Business Unit,Project ID,Activity ID,Resource Type,Resource Category,Resource Sub Category,Line Description, Oprid, User Name,PO Line No, Quantity, Unit Price, BAN, sPro Contractor Name
2022, 4,="GABKL04101",SP846265,="N",="ENT",30-APR-2021,0,="020",="700280",="AL",="01162", , , ,="Apr 2021 - Misc Cash",="5 State of Alabama 29017",20,MATCHED,P,        $-141689.00,        $-141689.00, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022, 6,="GABKL06101",SP846265,="N",="ENT",30-JUN-2021,0,="020",="700280",="AZ",="01162", , , ,="June 2021 - Misc Cash",="1 State of Arizona 31130",106,MATCHED,P,        $-429195.48,        $-429195.48, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022,10,="GABKL10101",SP846265,="N",="ENT",31-OCT-2021,0,="020",="700280",="HI",="01162", , , ,="Oct 2021 - Misc Cash",="7 State of Hawaii 31359",171,MATCHED,P,          $-3625.41,          $-3625.41, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022, 9,="GABKL09101",SP846265,="N",="ENT",30-SEP-2021,0,="020",="700280",="IL",="01162", , , ,="Sept 2021 - Misc Cash",="2 Treasurer of Illinos 31305",38,MATCHED,P,           $-512.65,           $-512.65, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022, 9,="GABKL09100",SP846265,="N",="ENT",30-SEP-2021,0,="020",="700280",="KS",="01162", , , ,="Sept 2021 - Misc Cash",="4 STATE OF KANSAS 31281",96,MATCHED,P,          $-3504.29,          $-3504.29, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022, 9,="GABKL09100",SP846265,="N",="ENT",30-SEP-2021,0,="020",="700280",="KS",="01162", , , ,="Sept 2021 - Misc Cash",="3 STATE OF KANSAS 31281",98,MATCHED,P,          $-2916.31,          $-2916.31, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022, 9,="GABKL09100",SP846265,="N",="ENT",30-SEP-2021,0,="020",="700280",="KS",="01162", , , ,="Sept 2021 - Misc Cash",="2 STATE OF KANSAS 31281",150,MATCHED,P,          $-2416.16,          $-2416.16, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022,11,="GABKL11100",SP846265,="N",="ENT",30-NOV-2021,0,="020",="700280",="KY",="01162", , , ,="Nov 2021 - Misc Cash",="15 Commonwealth of KY 31398",177,MATCHED,P,          $-3387.92,          $-3387.92, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022, 6,="GABKL06100",SP846265,="N",="ENT",30-JUN-2021,0,="020",="700280",="NM",="01162", , , ,="June 2021 - Misc Cash",="68 State of Alabama 29086",10,MATCHED,P,           $-373.98,           $-373.98, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
2022, 5,="GABKL05100",SP846265,="N",="ENT",31-MAY-2021,0,="020",="700280",="UT",="01162", , , ,="May 2021 - Misc Cash",="1 State of Utah 29047",33,MATCHED,P,           $-702.96,           $-702.96, , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , ,"","",
